iter	Passed	Remaining
0	1	112
1	1	97
2	2	89
3	3	81
4	4	84
5	5	85
6	6	84
7	7	83
8	8	81
9	9	82
10	10	82
11	11	82
12	12	81
13	12	79
14	13	77
15	14	76
16	15	74
17	15	72
18	16	70
19	17	69
20	18	67
21	18	66
22	19	64
23	20	63
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	24	58
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	42
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	53	24
69	54	23
70	55	22
71	56	21
72	56	21
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	70	5
93	72	4
94	74	3
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
