iter	Passed	Remaining
0	118	118768
1	121	60731
2	126	42181
3	129	32358
4	132	26416
5	136	22683
6	138	19691
7	140	17445
8	142	15686
9	144	14274
10	146	13210
11	150	12364
12	152	11579
13	154	10878
14	155	10234
15	157	9667
16	158	9166
17	161	8791
18	163	8441
19	164	8067
20	165	7728
21	166	7418
22	167	7135
23	169	6889
24	170	6643
25	171	6415
26	172	6203
27	173	6006
28	173	5824
29	177	5723
30	178	5574
31	179	5423
32	180	5288
33	181	5156
34	182	5025
35	183	4903
36	183	4786
37	184	4674
38	185	4567
39	186	4466
40	186	4369
41	187	4277
42	189	4223
43	191	4153
44	191	4072
45	192	3997
46	193	3931
47	194	3864
48	195	3794
49	196	3728
50	196	3664
51	197	3602
52	198	3543
53	198	3486
54	199	3430
55	200	3377
56	201	3325
57	201	3275
58	204	3257
59	205	3222
60	206	3176
61	207	3132
62	207	3089
63	208	3048
64	209	3010
65	209	2971
66	210	2933
67	211	2896
68	211	2860
69	212	2825
70	213	2791
71	214	2758
72	214	2725
73	215	2694
74	216	2664
75	216	2634
76	219	2628
77	220	2606
78	221	2578
79	221	2551
80	222	2524
81	223	2501
82	223	2473
83	224	2448
84	225	2424
85	225	2401
86	226	2377
87	227	2355
88	227	2332
89	228	2311
90	229	2289
91	229	2269
92	230	2248
93	231	2228
94	232	2215
95	233	2201
96	234	2183
97	235	2164
98	235	2146
99	236	2128
100	237	2112
101	238	2096
102	238	2079
103	239	2062
104	240	2046
105	240	2030
106	241	2015
107	242	2000
108	242	1984
109	243	1970
110	244	1955
111	244	1941
112	245	1926
113	246	1918
114	249	1917
115	250	1905
116	250	1893
117	251	1880
118	252	1867
119	252	1855
120	253	1842
121	254	1829
122	254	1817
123	255	1805
124	256	1793
125	256	1782
126	257	1770
127	258	1759
128	258	1748
129	259	1737
130	260	1726
131	262	1729
132	264	1722
133	265	1712
134	265	1702
135	266	1692
136	267	1682
137	267	1672
138	268	1662
139	269	1652
140	269	1643
141	270	1632
142	270	1623
143	271	1616
144	272	1607
145	273	1599
146	274	1590
147	274	1581
148	275	1572
149	277	1571
150	278	1567
151	279	1560
152	280	1553
153	282	1550
154	283	1542
155	283	1534
156	284	1526
157	285	1519
158	285	1512
159	286	1505
160	287	1496
161	287	1489
162	288	1481
163	289	1474
164	289	1466
165	290	1459
166	292	1460
167	293	1453
168	294	1446
169	294	1439
170	295	1432
171	296	1425
172	296	1419
173	297	1412
174	298	1405
175	298	1399
176	299	1392
177	300	1387
178	301	1382
179	302	1376
180	303	1372
181	306	1375
182	307	1373
183	308	1370
184	310	1366
185	311	1363
186	312	1359
187	314	1356
188	315	1352
189	316	1347
190	316	1341
191	317	1336
192	318	1330
193	318	1324
194	321	1325
195	322	1322
196	322	1316
197	323	1310
198	324	1305
199	324	1299
200	325	1294
201	326	1289
202	326	1283
203	327	1278
204	328	1273
205	328	1267
206	329	1262
207	330	1257
208	331	1253
209	331	1248
210	332	1243
211	333	1238
212	333	1233
213	336	1236
214	337	1232
215	338	1228
216	339	1223
217	339	1218
218	340	1213
219	340	1208
220	341	1204
221	342	1199
222	343	1195
223	344	1192
224	344	1188
